LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Ranunculus repens	45737	Ranunculus repens	94068	1021243	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA	321.4	cm2/g	Single				32.14	mm2 mg-1			1.30099	Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))	
Kleyer	Michael	25	The LEDA Traitbase	Carpinus betulus	10773	Carpinus betulus	208061	2204627	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA: petiole and rachis excluded	38.84	mm2/mg	Mean				38.84	mm2 mg-1			2.37833	Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.		
Kleyer	Michael	25	The LEDA Traitbase	Carpinus betulus	10773	Carpinus betulus	208062	2204639	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA: petiole and rachis excluded	21.888455	mm2/mg	Best estimate				21.888455	mm2 mg-1		6143688	1.45116	Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.		
Kleyer	Michael	25	The LEDA Traitbase	Carpinus betulus	10773	Carpinus betulus	208064	2204666	3116	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	6583	SLA: petiole  included	SLA: petiole and rachis included	35.11	mm2/mg	Best estimate				35.11	mm2 mg-1			1.66113	Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.		
Kleyer	Michael	25	The LEDA Traitbase	Carpinus betulus	10773	Carpinus betulus	208065	2204684	3116	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	6583	SLA: petiole  included	SLA: petiole and rachis included	11.63	mm2/mg	Best estimate				11.63	mm2 mg-1			3.42473	Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.		
Kleyer	Michael	25	The LEDA Traitbase	Medicago sativa	35846	Medicago sativa	210128	2232781	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA: petiole and rachis excluded	33	mm2/mg	Best estimate				33	mm2 mg-1			2.38209	Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.		
Kleyer	Michael	25	The LEDA Traitbase	Medicago sativa	35846	Medicago sativa	210129	2232795	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA: petiole and rachis excluded	18.9	mm2/mg	Best estimate				18.9	mm2 mg-1			0.927914	Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.		
Kleyer	Michael	25	The LEDA Traitbase	Medicago sativa	35846	Medicago sativa	210130	2232812	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA: petiole and rachis excluded	32.1	mm2/mg	Mean				32.1	mm2 mg-1		2232806	2.2678	Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.		
Kleyer	Michael	25	The LEDA Traitbase	Medicago sativa	35846	Medicago sativa	210131	2232817	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA: petiole and rachis excluded	19.2	mm2/mg	Best estimate				19.2	mm2 mg-1			0.875909	Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.		
Kleyer	Michael	25	The LEDA Traitbase	Medicago sativa s. falcata	35846	Medicago sativa	210132	2232828	3116	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	6583	SLA: petiole  included	SLA: petiole and rachis included	18.1	mm2/mg	Best estimate				18.1	mm2 mg-1			0.838674	Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.		
